Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2022-12-02,3259.14,3287.23,3287.23,3259.14,201011300
2022-12-05,3267.54,3266.52,3283.17,3256.45,209566056
2022-12-06,3252.37,3263.48,3265.28,3244.73,246046400
2022-12-07,3225.45,3239.22,3252.25,3225.45,212069600
2022-12-08,3236.08,3225.95,3246.18,3225.95,181752500
2022-12-09,3245.97,3242.67,3248.03,3235.82,207219359
2022-12-12,3239.66,3235.88,3255.61,3234.56,213053100
2022-12-13,3271.28,3245.46,3278.13,3245.09,226640800
2022-12-14,3278.57,3280.44,3293.47,3274.96,271342400
2022-12-15,3273.75,3280.95,3287.53,3256.79,252158300
2022-12-16,3240.81,3253.67,3272.12,3237.79,387112768
2022-12-19,3256.61,3239.5,3273.35,3239.5,172546965
2022-12-20,3253.97,3246.3,3262.37,3237.72,198287070
2022-12-21,3256.19,3250.86,3262.53,3246.34,143885044
2022-12-22,3269.53,3262.4,3278.88,3256.19,150651993
2022-12-23,3257.7,3257.19,3261.99,3250.16,99027700
2022-12-27,3266.38,3277.58,3277.94,3264.03,108508800
2022-12-28,3266.97,3257.75,3270.33,3256.24,121539700
2022-12-29,3249.24,3255.1,3257.0,3234.93,138022624
2022-12-30,3251.32,3259.23,3261.88,3247.85,106326500
2023-01-03,3245.8,3243.99,3252.12,3212.63,216626089
2023-01-04,3242.46,3251.42,3256.37,3238.7,235212800
2023-01-05,3292.66,3264.53,3297.34,3262.38,364196800
2023-01-06,3276.72,3290.32,3290.32,3271.08,276382400
2023-01-09,3305.67,3311.67,3343.47,3291.04,353167120
2023-01-10,3262.91,3300.17,3305.56,3258.7,332067100
2023-01-11,3271.51,3277.33,3281.23,3261.49,272259700
2023-01-12,3267.78,3282.79,3283.98,3253.99,278185500
2023-01-13,3293.75,3283.9,3298.08,3273.67,267767300
2023-01-16,3283.6,3304.39,3309.12,3273.65,199063500
2023-01-17,3280.51,3285.39,3291.01,3273.79,186019600
