Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2021-02-26,1168.47,1148.88,1169.28,1148.88,554463000
2021-03-01,1186.17,1176.93,1186.82,1174.45,643381000
2021-03-02,1186.61,1196.16,1196.16,1181.99,577005000
2021-03-03,1186.95,1184.73,1189.18,1180.25,631672000
2021-03-04,1168.52,1191.78,1191.9,1159.48,673450000
2021-03-05,1168.69,1164.19,1169.56,1155.6,594835000
2021-03-08,1168.27,1180.33,1181.25,1164.02,652703000
2021-03-09,1161.97,1160.96,1166.42,1150.94,641434000
2021-03-10,1170.08,1163.86,1170.59,1154.89,723922000
2021-03-11,1181.73,1170.08,1183.73,1170.08,629101000
2021-03-12,1181.56,1185.21,1186.52,1178.14,624705000
2021-03-15,1184.56,1183.89,1186.06,1178.8,676964000
2021-03-16,1179.9,1184.91,1184.91,1171.76,683854000
2021-03-17,1186.09,1178.64,1186.09,1176.26,701092000
2021-03-18,1200.94,1196.6,1200.94,1191.94,628635000
2021-03-19,1194.05,1195.47,1199.67,1191.96,680901000
2021-03-22,1194.43,1200.05,1200.21,1189.31,700869000
2021-03-23,1183.45,1190.28,1191.47,1177.1,683720000
2021-03-24,1161.81,1169.42,1174.2,1154.22,750477000
2021-03-25,1163.1,1164.41,1170.76,1154.44,690730000
2021-03-26,1162.21,1162.71,1165.76,1137.9,670464000
2021-03-29,1175.68,1169.65,1175.77,1165.78,660950000
2021-03-30,1186.36,1179.64,1187.29,1172.85,780731000
2021-03-31,1191.44,1186.36,1196.45,1186.36,703083000
2021-04-01,1216.1,1194.59,1217.26,1192.83,672835000
2021-04-02,1224.45,1225.76,1228.29,1221.07,661889000
2021-04-05,1236.05,1245.28,1245.28,1228.18,693036000
2021-04-06,1239.96,1233.37,1244.63,1231.14,694064000
2021-04-07,1242.38,1237.39,1242.38,1232.52,727816000
2021-04-08,1234.89,1242.38,1246.4,1232.26,664508000
2021-04-09,1231.66,1231.51,1234.98,1227.6,732818000
2021-04-12,1252.45,1236.79,1252.45,1232.35,890313000
2021-04-13,1248.33,1262.44,1268.02,1247.66,1027085000
2021-04-14,1255.87,1240.9,1255.87,1233.01,861955000
2021-04-15,1247.25,1262.25,1265.87,1247.25,806491000
2021-04-16,1238.71,1245.06,1254.61,1227.14,986878000
2021-04-19,1260.58,1243.58,1260.58,1233.77,817130000
2021-04-20,1268.28,1267.74,1286.32,1261.28,843602000
2021-04-22,1227.82,1264.31,1271.98,1227.82,770373000
2021-04-23,1248.53,1227.18,1248.53,1216.15,716519000
2021-04-26,1215.77,1251.25,1251.25,1214.14,744945000
2021-04-27,1219.75,1213.84,1220.96,1204.14,618170000
2021-04-28,1229.55,1220.26,1230.91,1217.49,612697000
2021-04-29,1239.39,1234.91,1239.39,1231.25,647160000
2021-05-04,1242.2,1222.08,1242.8,1212.56,798494000
2021-05-05,1256.43,1244.69,1265.93,1244.69,744428000
2021-05-06,1250.57,1255.42,1261.49,1246.64,730504000
2021-05-07,1241.81,1245.48,1250.5,1231.92,783041000
2021-05-10,1259.58,1239.96,1259.58,1236.85,773056000
2021-05-11,1256.04,1265.11,1272.55,1256.04,770094000
2021-05-12,1269.09,1251.97,1269.09,1249.18,700672000
2021-05-13,1261.99,1262.98,1273.49,1261.99,711521000
2021-05-14,1266.36,1266.43,1271.45,1259.97,730986000
2021-05-17,1258.7,1272.55,1277.83,1258.5,758292000
2021-05-18,1252.68,1259.57,1262.22,1249.02,692481000
2021-05-19,1262.49,1254.78,1262.71,1250.58,694352000
2021-05-20,1278.22,1264.62,1278.22,1255.78,745212000
2021-05-21,1283.93,1272.84,1289.03,1268.46,698930000
2021-05-24,1297.98,1287.5,1299.83,1287.36,715509000
2021-05-25,1308.58,1299.19,1308.58,1297.23,679063000
2021-05-26,1316.7,1308.04,1317.3,1304.68,713069000
2021-05-27,1303.57,1318.42,1319.67,1299.99,732998000
2021-05-28,1320.46,1307.79,1323.09,1300.06,768850000
