Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2020-03-05,1491.03,1492.36,1497.31,1486.35,140555700
2020-03-06,1483.1,1486.84,1486.84,1479.74,169355600
2020-03-09,1424.16,1459.81,1459.81,1422.65,255462000
2020-03-10,1430.47,1415.86,1446.73,1414.95,220291600
2020-03-11,1443.83,1431.35,1454.0,1428.59,195734000
2020-03-12,1419.43,1431.41,1432.7,1419.43,232856800
2020-03-13,1344.75,1363.76,1369.0,1320.96,442093200
2020-03-16,1280.63,1319.37,1319.37,1278.48,343898600
2020-03-17,1256.58,1217.28,1278.43,1211.95,431606800
2020-03-18,1239.01,1254.43,1275.23,1226.26,292176800
2020-03-19,1219.72,1227.71,1242.82,1207.8,280828500
2020-03-20,1303.28,1220.54,1304.55,1220.54,396283500
2020-03-23,1259.88,1249.5,1275.26,1241.46,250848800
2020-03-24,1291.14,1271.34,1311.22,1271.34,199940700
2020-03-25,1324.5,1322.19,1341.86,1304.97,208580500
2020-03-26,1328.09,1333.73,1336.74,1309.21,173835400
2020-03-27,1343.09,1335.57,1353.35,1335.57,194261000
2020-03-30,1328.88,1336.23,1336.23,1317.39,144260500
2020-03-31,1350.89,1336.6,1352.2,1335.91,260583600
2020-04-01,1322.66,1344.9,1344.9,1322.66,189037100
2020-04-02,1330.9,1320.62,1332.61,1316.94,154382300
2020-04-03,1330.65,1331.56,1333.82,1324.41,138072800
2020-04-06,1341.69,1332.61,1343.05,1324.43,150403500
2020-04-07,1369.92,1355.51,1369.92,1352.63,182160600
2020-04-08,1361.39,1366.46,1367.16,1358.2,149272300
2020-04-09,1369.76,1368.89,1371.35,1366.53,131792500
2020-04-10,1357.5,1361.62,1362.16,1354.28,81993900
2020-04-13,1356.03,1357.94,1359.68,1352.78,73131100
2020-04-14,1371.66,1361.01,1373.8,1357.83,114404000
2020-04-15,1387.79,1375.62,1394.66,1375.12,166219900
2020-04-16,1386.53,1381.96,1398.53,1378.3,162700200
2020-04-17,1407.34,1395.55,1414.67,1395.55,161977100
2020-04-20,1413.12,1411.69,1428.95,1411.69,183669900
2020-04-21,1381.73,1407.23,1407.23,1381.73,166167900
2020-04-22,1381.89,1366.4,1383.09,1359.54,190817200
2020-04-23,1381.64,1388.74,1395.34,1378.78,147390800
2020-04-24,1369.85,1376.17,1377.71,1367.49,143980200
2020-04-27,1370.16,1371.6,1378.4,1370.16,74707700
2020-04-28,1372.2,1371.98,1377.37,1367.44,145151500
2020-04-29,1380.3,1372.39,1386.23,1372.17,122355200
2020-04-30,1407.78,1383.96,1418.42,1383.96,189319500
2020-05-04,1376.59,1388.83,1388.83,1375.39,116486800
2020-05-05,1389.55,1378.75,1398.07,1378.75,79911100
2020-05-06,1376.93,1387.75,1393.56,1376.93,105301100
2020-05-08,1382.31,1382.12,1392.23,1382.02,127071100
2020-05-12,1379.93,1379.44,1388.41,1377.56,139615300
2020-05-13,1397.13,1383.22,1400.67,1379.1,186890100
2020-05-14,1397.25,1400.34,1411.08,1388.8,180103600
2020-05-15,1403.44,1403.47,1408.19,1398.71,114462900
2020-05-18,1410.16,1409.39,1416.94,1405.65,100010700
2020-05-19,1423.97,1419.77,1428.12,1418.76,171866300
2020-05-20,1435.12,1429.26,1435.12,1420.18,101428000
2020-05-21,1452.11,1437.49,1455.13,1437.13,168059700
2020-05-22,1436.76,1451.37,1451.44,1435.23,144048200
2020-05-27,1451.73,1446.91,1458.24,1446.42,189841100
2020-05-28,1457.5,1453.53,1458.73,1449.25,189529500
2020-05-29,1473.25,1450.54,1473.77,1448.84,595843500
2020-06-01,1490.14,1474.86,1492.55,1473.55,183649400
2020-06-02,1507.69,1484.51,1509.74,1480.17,225473000
2020-06-03,1538.53,1515.68,1542.01,1492.34,292940300
2020-06-04,1561.84,1541.69,1561.84,1541.5,261501300
2020-06-05,1556.33,1561.17,1564.13,1547.57,189450200
2020-06-09,1575.16,1572.8,1590.83,1567.97,290834700
2020-06-10,1575.27,1576.26,1578.1,1570.45,165205700
2020-06-11,1557.25,1577.65,1586.22,1550.9,212285100
2020-06-12,1546.02,1512.39,1546.02,1509.16,186027200
2020-06-15,1498.83,1548.05,1548.05,1490.44,218572900
2020-06-16,1517.71,1518.92,1528.76,1517.47,143663500
2020-06-17,1526.32,1527.98,1528.63,1510.71,154681700
2020-06-18,1504.91,1524.51,1525.69,1503.35,200979200
2020-06-19,1507.26,1497.96,1512.94,1496.79,254830200
2020-06-22,1511.24,1505.95,1511.65,1502.64,98222800
2020-06-23,1507.04,1511.15,1511.54,1492.32,109465200
2020-06-24,1502.63,1507.38,1507.38,1496.99,92437700
2020-06-25,1489.2,1494.44,1498.61,1484.4,93460100
2020-06-26,1488.14,1491.97,1495.57,1483.05,94462100
2020-06-29,1494.43,1485.19,1494.97,1476.28,104824100
2020-06-30,1500.97,1493.41,1509.12,1492.07,140817600
2020-07-01,1514.43,1503.93,1517.01,1497.54,114831700
2020-07-02,1536.28,1514.78,1536.36,1513.21,132430200
2020-07-03,1552.65,1543.48,1552.65,1538.16,85868800
2020-07-06,1576.9,1553.79,1577.82,1553.79,120130400
2020-07-07,1566.72,1582.03,1587.64,1562.88,152251200
2020-07-08,1583.5,1562.08,1584.67,1562.08,127417600
2020-07-09,1583.25,1583.94,1590.63,1579.9,164873700
2020-07-10,1591.84,1578.92,1591.84,1574.08,145111600
2020-07-13,1606.43,1596.4,1608.34,1595.75,136029500
2020-07-14,1598.75,1608.28,1617.36,1577.33,144740400
2020-07-15,1585.56,1601.52,1605.26,1585.56,133790000
2020-07-16,1565.0,1583.32,1599.53,1572.11,88813700
2020-07-17,1596.33,1563.01,1599.59,1563.01,181775800
2020-07-20,1589.45,1607.35,1609.02,1580.39,136294000
2020-07-21,1595.93,1588.42,1601.81,1587.86,147303200
2020-07-22,1586.98,1594.05,1599.57,1586.27,118174700
2020-07-23,1606.42,1586.97,1607.8,1585.45,104268300
2020-07-24,1589.61,1603.3,1605.21,1585.11,117983500
2020-07-27,1591.48,1594.68,1595.0,1585.24,89988600
2020-07-28,1609.94,1594.64,1609.94,1593.24,138510800
2020-07-29,1611.42,1610.13,1618.01,1589.98,112189200
2020-07-30,1603.75,1614.02,1614.35,1584.95,126475200
2020-08-03,1572.61,1595.01,1599.34,1570.18,148578200
2020-08-04,1575.94,1578.24,1580.87,1549.62,142530200
2020-08-05,1568.13,1578.82,1579.91,1566.87,115804200
2020-08-06,1588.57,1577.47,1588.57,1575.4,88748700
2020-08-07,1578.14,1590.54,1591.08,1578.14,78209400
2020-08-10,1571.66,1579.29,1579.29,1558.07,65973000
2020-08-11,1564.74,1580.17,1581.93,1564.74,80677300
2020-08-12,1556.64,1558.82,1564.38,1539.61,147372000
2020-08-13,1576.42,1564.13,1576.42,1561.17,103047400
2020-08-14,1564.59,1578.79,1579.63,1561.18,113661000
2020-08-17,1560.74,1561.94,1567.55,1543.04,102186200
2020-08-18,1577.85,1559.64,1577.85,1557.25,122344500
2020-08-19,1575.38,1576.38,1584.36,1570.7,108285500
2020-08-21,1577.12,1574.79,1579.01,1568.98,194313500
2020-08-24,1568.58,1578.55,1581.27,1567.1,119426200
2020-08-25,1554.96,1563.35,1569.58,1552.92,125072300
2020-08-26,1549.58,1554.75,1558.95,1538.26,129083600
2020-08-27,1554.78,1548.21,1554.78,1544.12,132430100
2020-08-28,1525.21,1555.05,1558.29,1525.21,265628700
2020-09-01,1521.43,1541.55,1541.99,1520.2,215671500
2020-09-02,1537.54,1525.12,1537.54,1523.69,146423000
2020-09-03,1515.4,1540.64,1544.18,1507.58,227392200
2020-09-04,1515.86,1504.62,1519.28,1498.72,123115500
2020-09-07,1516.38,1514.63,1520.89,1507.57,94876900
2020-09-08,1519.32,1518.5,1519.32,1494.19,177379900
2020-09-09,1496.72,1505.74,1505.74,1490.53,233845100
2020-09-10,1490.12,1502.22,1504.03,1474.23,280828000
2020-09-11,1504.85,1486.23,1505.89,1477.47,323100600
2020-09-14,1511.36,1513.43,1515.66,1506.41,247327400
2020-09-15,1531.28,1510.36,1532.04,1503.19,182127100
2020-09-17,1513.07,1541.14,1541.14,1508.01,314591800
2020-09-18,1506.63,1511.78,1524.07,1503.43,284135400
2020-09-21,1499.43,1510.42,1511.77,1496.97,156236400
2020-09-22,1505.78,1495.28,1511.9,1494.93,135822100
2020-09-23,1496.48,1507.29,1509.15,1491.17,145529900
2020-09-24,1500.8,1494.72,1506.6,1492.98,209154000
2020-09-25,1509.14,1507.95,1516.0,1505.05,161816600
2020-09-28,1511.66,1510.26,1519.05,1507.35,126847900
2020-09-29,1503.9,1512.75,1517.33,1503.9,171248200
2020-09-30,1504.82,1505.77,1512.95,1497.78,110856400
2020-10-01,1496.77,1501.58,1503.86,1491.13,84881100
2020-10-02,1500.3,1494.84,1501.85,1489.66,122647500
2020-10-05,1512.43,1501.08,1513.37,1498.81,147917700
2020-10-06,1509.47,1515.7,1522.32,1508.18,114933600
2020-10-07,1489.56,1509.24,1510.35,1489.56,136587800
2020-10-08,1519.43,1495.52,1519.43,1495.28,89887800
2020-10-09,1530.35,1516.94,1532.53,1512.74,87613900
2020-10-12,1518.43,1525.92,1526.02,1512.74,111076300
2020-10-13,1525.2,1514.18,1527.04,1512.46,134541300
2020-10-14,1523.25,1523.57,1524.23,1516.1,217994300
2020-10-15,1513.95,1521.44,1524.03,1512.96,134270100
2020-10-16,1503.84,1519.33,1520.31,1503.84,152911800
2020-10-19,1518.11,1507.21,1521.91,1505.92,132510200
2020-10-20,1510.97,1518.5,1520.97,1510.69,130512500
2020-10-21,1492.4,1512.04,1513.2,1492.19,183844000
2020-10-22,1498.8,1492.95,1500.05,1485.77,163496000
2020-10-23,1494.64,1499.76,1502.67,1489.83,130007200
2020-10-26,1494.61,1495.56,1497.54,1482.15,102464600
2020-10-27,1500.35,1492.11,1504.55,1489.98,140621900
2020-10-28,1495.2,1505.48,1505.64,1492.11,105403500
2020-10-30,1466.89,1494.31,1494.87,1461.05,165737400
2020-11-02,1466.46,1465.47,1468.09,1452.13,114250300
2020-11-03,1461.45,1469.11,1470.69,1460.6,92265300
2020-11-04,1464.61,1464.49,1473.53,1462.37,88912900
2020-11-05,1501.49,1468.86,1501.49,1467.84,128922500
2020-11-06,1519.64,1500.8,1519.64,1497.32,139420600
2020-11-09,1524.32,1521.63,1533.05,1513.21,109245000
2020-11-10,1575.07,1521.95,1575.07,1516.54,592756400
2020-11-11,1570.08,1572.69,1572.69,1550.44,242168200
2020-11-12,1590.78,1565.99,1592.28,1558.71,283572200
2020-11-13,1589.69,1588.38,1592.19,1572.0,178410200
2020-11-16,1599.66,1593.35,1602.23,1587.06,328920300
2020-11-17,1610.15,1599.62,1613.34,1593.02,467715300
2020-11-18,1604.75,1611.08,1611.58,1595.09,237706200
2020-11-19,1583.68,1595.79,1596.55,1583.68,174677700
2020-11-20,1593.75,1584.99,1599.49,1579.49,192318500
2020-11-23,1597.48,1593.26,1600.58,1592.71,139314000
2020-11-24,1578.39,1588.53,1599.98,1578.39,186434400
2020-11-25,1597.58,1582.31,1600.2,1582.31,196393300
2020-11-26,1612.11,1597.69,1612.78,1590.65,184343200
2020-11-27,1607.59,1615.2,1618.68,1605.68,204625000
2020-11-30,1562.71,1606.77,1614.77,1562.71,415540700
2020-12-01,1602.26,1580.17,1604.57,1580.17,218992400
2020-12-02,1598.72,1604.49,1605.6,1592.93,221580800
2020-12-03,1628.26,1601.13,1628.26,1599.36,181778200
2020-12-04,1621.85,1627.91,1628.82,1618.54,156357300
2020-12-07,1622.89,1624.07,1627.59,1618.98,155252700
2020-12-08,1631.7,1625.44,1631.72,1624.95,202623800
2020-12-09,1646.53,1640.99,1654.15,1638.77,246630400
2020-12-10,1654.39,1651.67,1658.07,1647.65,173122000
2020-12-11,1684.58,1660.76,1689.77,1660.49,295540900
2020-12-14,1662.74,1682.46,1695.96,1662.45,361491200
2020-12-15,1674.02,1661.54,1679.1,1655.88,226532100
2020-12-16,1681.41,1694.33,1695.87,1679.39,191726100
2020-12-17,1674.35,1684.27,1684.3,1669.69,149955400
2020-12-18,1652.49,1676.84,1678.11,1644.8,217881000
2020-12-21,1647.89,1651.86,1657.82,1641.92,120517100
2020-12-22,1631.92,1646.8,1647.36,1625.39,170479700
2020-12-23,1647.5,1631.55,1652.59,1627.53,115592000
2020-12-24,1641.17,1649.08,1649.71,1636.98,70670800
2020-12-28,1643.9,1642.23,1655.96,1639.92,97323000
2020-12-29,1634.99,1644.37,1645.76,1630.83,132040100
2020-12-30,1644.41,1635.6,1645.31,1631.77,122722900
2020-12-31,1627.21,1644.26,1644.26,1627.21,122930600
2021-01-04,1602.57,1629.01,1629.17,1593.12,519385300
2021-01-05,1608.35,1603.07,1608.35,1589.81,214185500
2021-01-06,1591.97,1610.78,1610.78,1586.25,177008600
2021-01-07,1602.95,1589.53,1602.95,1572.62,344222000
2021-01-08,1633.19,1601.95,1633.19,1595.12,419320700
2021-01-11,1617.25,1627.22,1627.22,1607.53,312214300
2021-01-12,1612.04,1615.84,1621.1,1590.71,294833700
2021-01-13,1636.69,1617.68,1637.31,1617.68,215713300
2021-01-14,1635.71,1638.0,1646.24,1632.2,211876200
2021-01-15,1627.01,1637.27,1637.88,1626.25,135442000
2021-01-18,1609.52,1625.35,1625.35,1608.64,108538700
2021-01-19,1601.88,1611.06,1618.41,1601.88,137672400
2021-01-20,1601.54,1606.55,1616.84,1601.54,163315800
2021-01-21,1594.8,1608.43,1615.22,1594.31,147155800
2021-01-22,1596.74,1596.06,1605.7,1595.02,218347800
2021-01-25,1576.62,1600.54,1601.54,1575.88,273030500
2021-01-26,1575.31,1590.59,1609.19,1575.31,342432600
2021-01-27,1580.62,1585.06,1593.08,1580.37,247946400
2021-01-29,1566.4,1597.16,1597.52,1560.54,478916100
2021-02-02,1580.49,1575.03,1585.18,1571.3,315294100
2021-02-03,1582.99,1584.02,1597.93,1582.54,278473600
2021-02-04,1584.9,1582.1,1586.55,1576.33,187635200
2021-02-05,1578.63,1587.7,1590.47,1574.69,137659000
2021-02-08,1573.33,1580.44,1586.06,1572.77,184060700
2021-02-09,1586.13,1574.67,1588.96,1574.23,196502000
2021-02-10,1596.85,1586.94,1596.85,1586.87,165986600
2021-02-11,1599.42,1602.19,1602.5,1594.52,69045700
2021-02-15,1608.07,1607.0,1614.92,1607.0,114171800
2021-02-16,1606.14,1612.04,1613.01,1605.4,198115800
2021-02-17,1595.29,1609.51,1609.51,1593.8,194961500
