Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2022-03-11,1658.01,1642.27,1659.67,1637.93,29534583000
2022-03-14,1660.15,1656.36,1662.66,1651.9,24666535000
2022-03-15,1644.36,1656.78,1663.32,1639.9,27114400000
2022-03-16,1667.92,1655.01,1668.95,1653.87,27367561000
2022-03-17,1681.76,1679.27,1686.45,1677.19,32972419000
2022-03-18,1678.51,1684.12,1685.68,1677.16,26901402000
2022-03-21,1673.87,1683.69,1685.78,1671.08,25860334000
2022-03-22,1677.87,1672.99,1680.0,1670.55,27102728000
2022-03-23,1677.95,1684.03,1686.14,1676.88,24139264000
2022-03-24,1680.89,1677.52,1685.12,1675.19,24809451000
2022-03-25,1676.8,1683.67,1685.41,1674.12,24318772000
2022-03-28,1684.3,1678.13,1687.2,1676.75,21908540000
2022-03-29,1689.74,1688.52,1692.9,1686.84,25423049000
2022-03-30,1698.4,1694.84,1702.67,1692.73,30457929000
2022-03-31,1695.24,1698.8,1701.95,1693.16,24388886000
2022-04-01,1701.31,1693.67,1701.99,1690.7,23984849000
2022-04-04,1702.93,1704.64,1706.77,1699.82,23360506000
2022-04-05,1701.18,1705.86,1708.89,1698.33,20071192000
2022-04-07,1682.41,1693.46,1694.23,1674.81,26967655000
2022-04-08,1686.0,1684.66,1690.58,1678.07,24655866000
2022-04-11,1678.46,1683.45,1685.95,1675.95,22076972000
2022-04-12,1674.34,1673.72,1678.44,1669.36,19134963000
2022-04-18,1668.06,1669.09,1675.95,1665.25,18482111000
2022-04-19,1675.62,1675.26,1681.75,1673.91,23512985000
2022-04-20,1680.35,1678.5,1685.9,1675.58,21360939000
2022-04-21,1690.55,1686.31,1693.97,1682.65,22946727000
2022-04-22,1690.59,1686.26,1690.59,1680.86,23209573000
2022-04-25,1675.33,1677.55,1683.06,1672.99,20903855000
2022-04-26,1668.97,1681.74,1685.42,1668.76,25793945000
