Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2015-11-11,603.53,604.13,609.02,603.34,90407380
2015-11-12,605.58,602.02,605.58,595.86,137337740
2015-11-13,611.27,604.41,611.27,603.72,145889290
2015-11-16,609.21,609.77,611.92,605.39,122539980
2015-11-17,605.05,609.21,611.18,605.05,162846800
2015-11-18,603.34,603.32,606.62,602.13,110694890
2015-11-19,601.9,604.38,605.56,600.84,111444220
2015-11-20,604.46,602.11,606.58,601.9,130398970
2015-11-23,599.99,605.89,607.69,599.99,147238690
2015-11-24,593.83,599.81,599.94,590.41,150944920
2015-11-25,595.7,593.24,596.92,588.1,141109040
2015-11-26,590.4,593.12,594.67,590.39,143903290
2015-11-27,582.86,589.09,591.84,582.86,133885000
2015-11-30,573.2,581.39,581.65,571.12,112002660
2015-12-01,570.41,573.39,577.58,570.41,105037670
2015-12-02,574.42,571.01,577.03,571.01,95044360
2015-12-03,574.38,574.04,576.84,573.2,72157320
2015-12-04,571.62,574.0,574.69,567.95,83491230
2015-12-07,563.62,570.12,571.2,563.41,70843060
2015-12-08,574.15,561.0,574.15,556.92,97111470
2015-12-09,565.2,575.08,576.63,565.2,88440210
2015-12-10,561.04,564.86,567.62,561.04,94011540
2015-12-11,563.43,560.99,567.13,559.73,79068530
2015-12-14,562.22,564.14,566.28,560.99,92279450
2015-12-15,568.0,563.3,568.74,563.3,99030490
2015-12-16,572.55,570.36,575.54,570.36,96949850
2015-12-17,577.11,576.23,579.18,574.81,80826770
2015-12-18,568.18,574.66,578.0,568.18,179001190
2015-12-21,566.9,570.45,571.28,565.35,97315670
2015-12-22,566.35,567.88,570.86,565.48,74383900
2015-12-23,564.27,564.93,568.16,562.3,73480350
2015-12-24,566.17,566.65,567.8,565.62,64643240
2015-12-25,567.67,566.6,570.49,566.6,79503910
2015-12-28,569.9,570.57,572.92,569.4,100998130
2015-12-29,576.29,569.4,576.29,566.49,94079180
2015-12-30,579.45,576.5,579.45,575.71,83672230
2015-12-31,579.03,579.12,580.82,575.73,102999330
2016-01-04,574.41,577.91,579.5,573.15,95930580
2016-01-05,569.94,571.66,575.4,569.26,97997540
2016-01-06,574.57,569.5,574.57,569.5,82285160
2016-01-07,565.36,570.62,570.94,561.09,140610960
2016-01-08,560.05,562.62,563.17,556.36,133652640
